France,Italy,Greece,ParamSetting,LWE_wins,Baseline_wins,Ties,Total_horizons
France_level_2,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 4 models_TH_0.5_not_equal_weight,0,14,4,18
France_level_2,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 5 models_TH_0.5_not_equal_weight,0,14,4,18
France_level_3,Italy_level_2,Greece_level_2,Ensemble (mean weight) top 5 models_TH_0.5_not_equal_weight,0,14,4,18
France_level_3,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 4 models_TH_0.5_not_equal_weight,0,14,4,18
France_level_3,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 5 models_TH_0.5_not_equal_weight,0,14,4,18
France_level_2,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 4 models_TH_auto_equal_weight,0,15,3,18
France_level_2,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,0,15,3,18
France_level_2,Italy_level_3,Greece_level_3,Ensemble (mean weight) top 4 model_TH_0.5_equal_weights,0,15,3,18
France_level_2,Italy_level_3,Greece_level_3,Ensemble (mean weight) top 4 models_TH_auto_equal_weight,0,15,3,18
France_level_3,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 3 models_TH_auto_equal_weight,0,15,3,18
France_level_3,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,0,15,3,18
France_level_3,Italy_level_3,Greece_level_3,Ensemble (mean weight) top 4 model_TH_0.5_equal_weights,0,15,3,18
France_level_2,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 3 model_TH_0.5_equal_weights,0,16,2,18
France_level_2,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 4 model_TH_0.5_equal_weights,0,16,2,18
France_level_2,Italy_level_3,Greece_level_3,Ensemble (mean weight) top 3 model_TH_0.5_equal_weights,0,16,2,18
France_level_2,Italy_level_3,Greece_level_3,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,0,16,2,18
France_level_3,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 3 model_TH_0.5_equal_weights,0,16,2,18
France_level_3,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 3 models_TH_0.5_not_equal_weight,0,16,2,18
France_level_3,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 4 model_TH_0.5_equal_weights,0,16,2,18
France_level_3,Italy_level_3,Greece_level_3,Ensemble (mean weight) top 3 model_TH_0.5_equal_weights,0,16,2,18
France_level_3,Italy_level_3,Greece_level_3,Ensemble (mean weight) top 3 models_TH_0.5_not_equal_weight,0,16,2,18
France_level_3,Italy_level_3,Greece_level_3,Ensemble (mean weight) top 3 models_TH_auto_equal_weight,0,16,2,18
France_level_3,Italy_level_3,Greece_level_3,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,0,16,2,18
France_level_2,Italy_level_2,Greece_level_3,Ensemble (mean weight) top 3 models_TH_0.5_not_equal_weight,0,17,1,18
France_level_2,Italy_level_3,Greece_level_3,Ensemble (mean weight) top 3 models_TH_0.5_not_equal_weight,0,17,1,18
