iter	Logloss
0	0.6646439283
1	0.6427366057
2	0.616421006
3	0.5996327034
4	0.5803956685
5	0.5649519413
6	0.5503695311
7	0.5373761467
8	0.5250638392
9	0.5134810515
10	0.5032478221
11	0.4955189744
12	0.4872666206
13	0.4806338063
14	0.4702045078
15	0.4705096001
16	0.4619736409117	0.4550759355118	0.4492372954119	0.4430281943220	0.4366652871221	0.4290212369222	0.4249050663
23	0.4196510409
24	0.4139223102
25	0.4079727721
26	0.404139093
27	0.400437037
28	0.3963101336
29	0.3920659629
30	0.3885704553
31	0.3852290943
32	0.3815801877
33	0.3778111937
34	0.3731984025
35	0.3705624096
36	0.3675315929
37	0.3646745296
38	0.3619992376
39	0.3586300048
40	0.3548447056
41	0.3499414375
42	0.3465930983
43	0.3422258727
44	0.3389433745
45	0.336941591
46	0.3346389223
47	0.3314197603
48	0.3287029755
49	0.3266966369
50	0.3232179038
51	0.3191948605
52	0.3162892837
53	0.3126865424
54	0.3091248923
55	0.3054098153
56	0.3023956548
57	0.3002349974
58	0.2977429932
59	0.294786905
60	0.2921490468
61	0.2891168217
62	0.2870118398
63	0.2855020042
64	0.2836537536
65	0.2801855761
66	0.2775838886
67	0.2748701865
68	0.2723110904
69	0.2697118273
70	0.2679962339
71	0.2665442336
72	0.2644746149
73	0.2624842879
74	0.2605150532
75	0.2593580442
76	0.257247916
77	0.2558518837
78	0.2541560942
79	0.2526756382
80	0.2516054798
81	0.249871714
82	0.2483528649
83	0.2463981416
84	0.2442708718
85	0.2431500844
86	0.2414900247
87	0.2390195074
88	0.2364514954
89	0.2353026991
90	0.2330246852
91	0.2299833407
92	0.227211495
93	0.2260441105
94	0.2236514988
95	0.2225758799
96	0.2205209604
97	0.2183185674
98	0.2157663845
99	0.2141795329
100	0.2130499037
101	0.2119852265
102	0.2098639606
103	0.2084640219
104	0.2064845384
105	0.2042160216
106	0.2034051935
107	0.2017174667
108	0.199422297
109	0.1982703564
110	0.1962500797
111	0.195190628
112	0.1931864003
113	0.1927509136
114	0.1912816365
115	0.1895459488
116	0.1882550168
117	0.1868270639
118	0.1857010085
119	0.184035275
120	0.1825935111
121	0.1820006622
122	0.1811504934
123	0.1799580472
124	0.1782368903
125	0.176512164
126	0.1749549432
127	0.173414755
128	0.1718510511
129	0.1705999847
130	0.1691048778
131	0.1673655758
132	0.1663480896
133	0.1649515977
134	0.1635917905
135	0.1619702864
136	0.1604287185
137	0.1590471508
138	0.1578699167
139	0.1566391877
140	0.1552626422
141	0.1535659257
142	0.1526211811
143	0.1513797117
144	0.1504286934
145	0.1494114658
146	0.1480756018
147	0.1472858917
148	0.1464387642
149	0.1456795986
150	0.1449360122
151	0.143577958
152	0.14306873
153	0.1415063838
154	0.1404451693
155	0.1392432625
156	0.1377599042
157	0.1367002808
158	0.1355242094
159	0.1349808422
160	0.1337406748
161	0.1326059284
162	0.1315228455
163	0.1306518548
164	0.1296151417
165	0.1281720656
166	0.1268124617
167	0.1260905495
168	0.1250530007
169	0.1240732181
170	0.1229887851
171	0.1221185914
172	0.121344873
173	0.1209112578
174	0.1193997594
175	0.1180943406
176	0.1172352797
177	0.1160068757
178	0.1149298811
179	0.1142384297
180	0.113152298
181	0.1119810641
182	0.1113079734
183	0.110171779
184	0.1096399948
185	0.1084259486
186	0.1072877845
187	0.106431701
188	0.1056914461
189	0.1049443386
190	0.1038733071
191	0.1028201732
192	0.1019632871
193	0.1006036346
194	0.09967122653
195	0.0986149272
196	0.09778498843
197	0.09713315836
198	0.09621170183
199	0.09502124143
	0.08009619707
	0.06747355916
220109
199	0.05385053896
4427
198	0.03425789758
199	0.03398130959
446983
198	0.01564423077
199	0.01543283168
