time,area_name,lat,lon,rr,hu,qq,tg,tx,tn,fg
2015-09-01,seine_maritime,49.65874437620977,1.0258376765981017,172.45001,79.65194,144.9287,13.377887,17.720814,9.567173,3.3280168
2015-10-01,seine_maritime,49.65874437620977,1.0258376765981017,108.25484,84.73709,78.95427,10.916892,14.743977,7.5891013,3.0941117
2015-11-01,seine_maritime,49.65874437620977,1.0258376765981017,237.21667,84.9188,41.15654,10.694472,13.5121355,8.089393,4.6345487
2015-12-01,seine_maritime,49.65874437620977,1.0258376765981017,91.01613,84.56658,31.5341,9.6359,12.008558,7.5902123,4.4578643
2016-01-01,seine_maritime,49.65874437620977,1.0258376765981017,266.99036,84.90315,34.474888,5.516893,8.0402775,3.071037,4.5905185
2016-02-01,seine_maritime,49.65874437620977,1.0258376765981017,266.38623,83.12948,65.42645,5.530484,8.25299,3.0846531,4.723217
2016-03-01,seine_maritime,49.65874437620977,1.0258376765981017,178.8258,80.242134,111.21478,6.0185018,9.612641,2.8439362,4.2180033
2016-04-01,seine_maritime,49.65874437620977,1.0258376765981017,165.26334,78.32538,169.09705,8.382768,12.69189,4.4137635,3.5426538
2016-05-01,seine_maritime,49.65874437620977,1.0258376765981017,266.94193,79.24227,195.91588,13.071808,17.519697,9.045949,3.4093099
2016-06-01,seine_maritime,49.65874437620977,1.0258376765981017,194.47334,86.210724,170.80421,15.40837,19.224737,12.594603,3.1271012
2016-07-01,seine_maritime,49.65874437620977,1.0258376765981017,52.216133,78.000435,226.21722,17.472805,22.36941,13.204071,2.9150062
2016-08-01,seine_maritime,49.65874437620977,1.0258376765981017,88.212906,76.784,207.40343,18.247812,23.704239,13.493102,3.231229
2016-09-01,seine_maritime,49.65874437620977,1.0258376765981017,135.57666,79.346016,136.14937,17.175404,21.916777,13.278873,2.7602994
2016-10-01,seine_maritime,49.65874437620977,1.0258376765981017,100.01936,83.390045,88.18049,10.643638,14.8475,7.181429,2.789841
2016-11-01,seine_maritime,49.65874437620977,1.0258376765981017,232.76666,84.07488,42.876793,7.2796454,10.123907,4.782806,3.964232
2016-12-01,seine_maritime,49.65874437620977,1.0258376765981017,44.41613,87.57765,35.951817,4.4239364,7.7772107,1.7490159,2.8087995
2017-01-01,seine_maritime,49.65874437620977,1.0258376765981017,128.68387,85.33333,42.19559,2.5131564,5.740923,-0.19890565,3.064863
2017-02-01,seine_maritime,49.65874437620977,1.0258376765981017,169.51071,85.47931,54.67315,6.2514873,9.135809,4.041845,4.246257
2017-03-01,seine_maritime,49.65874437620977,1.0258376765981017,137.95161,80.25983,111.79747,9.459301,13.024578,6.2663536,4.0404043
2017-04-01,seine_maritime,49.65874437620977,1.0258376765981017,46.410004,75.31999,194.05486,8.96354,13.970152,4.1979322,2.9468565
2017-05-01,seine_maritime,49.65874437620977,1.0258376765981017,179.79033,79.06404,211.90895,14.111081,18.967726,9.822686,3.2666557
2017-06-01,seine_maritime,49.65874437620977,1.0258376765981017,126.48333,74.66454,247.362,17.667223,22.896797,12.771143,3.2460632
2017-07-01,seine_maritime,49.65874437620977,1.0258376765981017,81.45484,76.33612,205.99469,17.954561,23.018063,13.507065,3.3201797
2017-08-01,seine_maritime,49.65874437620977,1.0258376765981017,195.17743,79.08076,179.39241,17.179625,22.213192,12.877769,2.7832255
2017-09-01,seine_maritime,49.65874437620977,1.0258376765981017,281.8,82.79702,125.72827,14.224848,18.542915,10.947848,3.0954092
2017-10-01,seine_maritime,49.65874437620977,1.0258376765981017,109.73549,83.81214,77.380974,13.30987,16.918169,10.413744,3.459028
2017-11-01,seine_maritime,49.65874437620977,1.0258376765981017,311.72333,84.89198,44.892403,7.868987,10.868409,5.1268525,3.305751
2017-12-01,seine_maritime,49.65874437620977,1.0258376765981017,383.92902,87.174324,23.527155,5.8174024,8.167607,3.347607,4.303944
2018-01-01,seine_maritime,49.65874437620977,1.0258376765981017,344.49356,87.83086,28.178032,6.765345,9.119028,4.4676642,4.834275
2018-02-01,seine_maritime,49.65874437620977,1.0258376765981017,107.95,76.68866,79.58454,2.1477396,5.1595526,-0.3353029,4.35099
2018-03-01,seine_maritime,49.65874437620977,1.0258376765981017,204.19354,82.906784,93.44182,5.8026295,9.412939,2.960596,4.349461
2018-04-01,seine_maritime,49.65874437620977,1.0258376765981017,227.02333,78.06367,157.28778,11.633164,16.261908,7.8243113,3.5841181
2018-05-01,seine_maritime,49.65874437620977,1.0258376765981017,166.67741,80.38452,224.56349,13.930425,19.062008,9.309371,3.1658063
2018-06-01,seine_maritime,49.65874437620977,1.0258376765981017,57.32,79.974106,217.19704,16.83767,21.505545,12.484823,3.2250547
2018-07-01,seine_maritime,49.65874437620977,1.0258376765981017,69.822586,71.840546,249.03429,20.138521,25.746521,14.910436,2.791968
2018-08-01,seine_maritime,49.65874437620977,1.0258376765981017,193.23549,77.31324,190.85545,18.064957,22.956348,13.867741,2.974818
2018-09-01,seine_maritime,49.65874437620977,1.0258376765981017,104.64333,77.37103,153.08987,14.971629,20.270277,10.382831,3.1838436
2018-10-01,seine_maritime,49.65874437620977,1.0258376765981017,101.103226,82.179375,94.74888,12.431069,17.177486,8.495194,3.3939116
2018-11-01,seine_maritime,49.65874437620977,1.0258376765981017,135.97667,86.873764,46.17721,7.499375,10.568717,5.0723205,4.0197763
2018-12-01,seine_maritime,49.65874437620977,1.0258376765981017,271.4871,88.33888,26.622293,6.837566,9.243316,4.6311064,3.9911962
2019-01-01,seine_maritime,49.65874437620977,1.0258376765981017,107.674194,86.43521,30.774603,4.2681994,6.3564963,2.3316414,3.4370804
2019-02-01,seine_maritime,49.65874437620977,1.0258376765981017,135.925,81.575005,80.275314,6.719362,11.30089,2.914426,3.3541229
2019-03-01,seine_maritime,49.65874437620977,1.0258376765981017,155.20645,82.10365,113.681915,8.537775,11.850371,5.5315027,4.586268
2019-04-01,seine_maritime,49.65874437620977,1.0258376765981017,86.92,74.899,177.5443,9.873637,14.870326,5.2316704,3.3893163
2019-05-01,seine_maritime,49.65874437620977,1.0258376765981017,89.55484,79.45769,199.9412,11.728036,16.358843,7.2966557,3.2451327
2019-06-01,seine_maritime,49.65874437620977,1.0258376765981017,187.82666,79.24288,224.41307,16.555214,21.833555,11.90273,3.3678858
2019-07-01,seine_maritime,49.65874437620977,1.0258376765981017,69.19678,71.995026,248.73174,18.643332,24.652542,12.762033,3.1085339
2019-08-01,seine_maritime,49.65874437620977,1.0258376765981017,106.11936,76.66986,197.74602,18.056545,23.74699,13.054426,2.7703633
2019-09-01,seine_maritime,49.65874437620977,1.0258376765981017,113.06334,78.78127,142.63417,15.278729,20.0781,11.1161175,3.643713
2019-10-01,seine_maritime,49.65874437620977,1.0258376765981017,365.85486,86.75317,68.098816,12.366333,15.447255,9.914536,3.8875048
2019-11-01,seine_maritime,49.65874437620977,1.0258376765981017,364.52335,88.24152,40.60422,7.3630843,9.969983,5.256426,3.9106283
2019-12-01,seine_maritime,49.65874437620977,1.0258376765981017,326.37744,86.47398,30.03879,6.4199386,9.188987,3.9899795,4.397562
2020-01-01,seine_maritime,49.65874437620977,1.0258376765981017,156.0,88.330246,38.145367,6.288457,8.819493,3.701319,3.995349
2020-02-01,seine_maritime,49.65874437620977,1.0258376765981017,356.61725,83.55604,56.506763,7.736303,10.564281,5.0514274,5.787717
2020-03-01,seine_maritime,49.65874437620977,1.0258376765981017,158.6387,76.49355,128.61371,7.2459083,11.084308,3.8910778,4.5884037
2020-04-01,seine_maritime,49.65874437620977,1.0258376765981017,85.00667,68.846924,207.32533,12.257646,18.075558,6.818371,3.2756329
2020-05-01,seine_maritime,49.65874437620977,1.0258376765981017,65.16774,70.84401,262.35526,13.485259,18.736263,8.017468,3.5407267
2020-06-01,seine_maritime,49.65874437620977,1.0258376765981017,151.07,75.45653,218.00296,16.140545,21.26911,11.327194,3.2441773
2020-07-01,seine_maritime,49.65874437620977,1.0258376765981017,54.08387,73.977,229.30217,17.291729,22.46418,12.6086235,3.5552058
2020-08-01,seine_maritime,49.65874437620977,1.0258376765981017,220.25485,75.904755,195.2213,19.47719,24.910458,15.353747,3.2306616
2020-09-01,seine_maritime,49.65874437620977,1.0258376765981017,116.56,79.48002,148.03416,16.043058,21.066551,11.868117,3.2051349
2020-10-01,seine_maritime,49.65874437620977,1.0258376765981017,357.1516,85.935425,68.43895,11.521387,14.884033,8.911347,4.030118
2020-11-01,seine_maritime,49.65874437620977,1.0258376765981017,95.096664,87.81264,50.146835,9.396249,12.70059,6.472878,3.5973883
2020-12-01,seine_maritime,49.65874437620977,1.0258376765981017,351.8258,89.811966,29.255207,6.3526134,8.681703,4.377317,4.1077867
2021-01-01,seine_maritime,49.65874437620977,1.0258376765981017,326.49353,89.505516,33.367905,4.1927195,6.6414256,1.9602491,3.6346018
2021-02-01,seine_maritime,49.65874437620977,1.0258376765981017,88.15714,79.63868,71.46655,5.618436,8.8413105,2.8978705,4.0986977
2021-03-01,seine_maritime,49.65874437620977,1.0258376765981017,99.132256,77.824776,133.19356,7.2027974,11.743111,3.1305063,3.784953
2021-04-01,seine_maritime,49.65874437620977,1.0258376765981017,49.823334,73.052734,209.41689,7.021717,12.107763,2.4372447,3.4997678
2021-05-01,seine_maritime,49.65874437620977,1.0258376765981017,223.05484,77.856865,210.78683,11.264476,15.784447,7.122221,3.6719966
2021-06-01,seine_maritime,49.65874437620977,1.0258376765981017,303.35,84.49601,221.273,16.378687,21.142452,12.292585,3.0451095
